2 0.0 0.0
3 10.3111000061 123.891700745
1 10.5 -66.9167022705
9 -12.0500001907 -77.0500030518
6 12.25 -68.75
6 12.516699791 -70.0333023071
5 12.7306003571 -86.125
2 13.1332998276 -61.2167015076
1 13.7086000443 -89.2031021118
4 13.75 100.516700745
3 16.2000007629 -61.4832992554
1 16.4500007629 120.550003052
1 17.3752994537 78.4744033813
1 18.0 -76.8000030518
3 18.184299469 -67.1275024414
1 18.2273006439 -66.0579986572
14 18.25 -66.5
9 18.4176006317 -66.8559036255
2 18.4666996002 -69.9000015259
11 19.4342002869 -99.1386032104
1 20.75 -105.333297729
1 21.0167007446 -101.25
1 21.1166992188 -101.666702271
3 21.1667003632 -86.8332977295
1 21.2982997894 -157.791900635
4 21.3138999939 -157.824493408
1 21.4002990723 -157.751998901
1 21.4570007324 -158.17300415
2 -22.8999996185 -43.2332992554
4 23.0 -102.0
5 -23.2999992371 -51.1500015259
3 -23.5333003998 -46.6166992188
4 24.5856990814 -81.6809997559
2 25.0832996368 -77.3499984741
1 25.4864997864 -80.5027999878
1 25.5 51.25
6 25.6032009125 -80.3347015381
6 25.6833000183 -100.25
6 25.7033004761 -80.2899017334
2 25.7052001953 -80.4633026123
2 25.7362995148 -80.4044036865
1 25.7565994263 -80.4076004028
18 25.7614994049 -80.2938995361
8 25.766500473 -80.2043991089
1 25.7828998566 -80.1358032227
2 25.8213005066 -80.1339035034
1 25.8582000732 -80.1312026978
1 25.8588008881 -80.3839035034
6 25.8610992432 -80.2714996338
1 25.8658008575 -80.3018035889
5 25.8857002258 -80.3155975342
2 25.890499115 -80.3352966309
1 25.9265995026 -80.1443023682
3 25.9372005463 -80.3170013428
1 25.9698009491 -97.4466018677
16 26.0097999573 -80.2592010498
1 26.0184993744 -80.3445968628
7 26.0205993652 -80.2444000244
2 26.0212001801 -80.1894989014
2 26.0697994232 -80.2222976685
5 26.0851993561 -80.1753997803
2 26.1130008698 -80.3255996704
4 26.1135997772 -80.4152984619
1 26.1142997742 -80.3840026855
10 26.1275005341 -80.2331008911
1 26.1576004028 -80.3322982788
1 26.1788005829 -98.3594970703
1 26.2357006073 -80.0996017456
2 26.2441997528 -80.2059020996
8 26.2719993591 -80.2580032349
4 26.287399292 -98.1167984009
2 26.297700882 -80.1775970459
1 26.3083992004 -80.1432037354
2 26.3097000122 -80.1220016479
6 26.3483009338 -80.1585006714
1 26.3738994598 -80.1467971802
5 26.5244998932 -80.1106033325
1 26.5333003998 -78.6999969482
6 26.5736999512 -81.8268966675
3 26.6002998352 -80.1136016846
3 26.6203994751 -81.6439971924
1 26.6231002808 -81.8753967285
1 26.6291999817 -81.9431991577
2 26.6336994171 -81.9820022583
2 26.698299408 -82.0270996094
6 26.7063007355 -80.2071990967
4 26.7176990509 -80.1258010864
1 26.8498001099 -80.1399993896
2 26.8999996185 -80.6095962524
1 26.9370002747 -80.1350021362
1 26.9554004669 -82.2986984253
3 27.1019001007 -82.382598877
3 27.2497997284 -80.379699707
1 27.3099994659 -82.4794998169
4 27.3255004883 -82.4733963013
4 27.3325996399 -80.4216995239
7 27.3910007477 -80.3774032593
3 27.4549999237 -82.5111999512
4 27.4916992188 -82.6405029297
2 27.5632991791 -99.2175979614
1 27.7019996643 -97.3423995972
